title	maxNodes	timesteps	depthCategory	sizeVarianceCategory	sizeChangeCategory	dataChangeCategory
wb-EG.USE.PCAP.KG.OE	171	56	2 or 3 levels	High variance	Low size change	Spiky data change
wb-EN.ATM.METH.AG.KT.CE	197	40	2 or 3 levels	High variance	Low size change	Spiky data change
wb-EN.ATM.METH.EG.KT.CE	195	40	2 or 3 levels	High variance	Low size change	Spiky data change
wb-FB.CBK.BRCH.P5	186	16	2 or 3 levels	High variance	Low size change	Spiky data change
wb-IT.MLT.MAIN	210	45	2 or 3 levels	High variance	Low size change	Spiky data change
wb-IT.MLT.MAIN.P2	210	45	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NE.CON.PRVT.KD	178	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NE.CON.PRVT.KN	165	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NE.CON.PRVT.PC.KD	178	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NE.CON.TOTL.KD	174	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NE.CON.TOTL.KN	163	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NE.DAB.TOTL.KD	174	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NE.DAB.TOTL.KN	159	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NE.GDI.FTOT.KD	170	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NV.AGR.TOTL.KD	187	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NV.AGR.TOTL.KN	184	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NV.IND.MANF.KD	181	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NV.IND.MANF.KN	177	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NV.IND.TOTL.KD	189	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NV.SRV.TOTL.KD	164	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NY.ADJ.NNTY.KD	172	47	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NY.ADJ.NNTY.PC.KD	172	47	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NY.GDP.FCST.KD	172	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NY.GDP.FCST.KN	169	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NY.GNP.MKTP.KD	193	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NY.GNP.MKTP.KN	158	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NY.GNP.MKTP.PP.KD	190	28	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NY.GNP.PCAP.KD	193	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NY.GNP.PCAP.KN	158	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-NY.GNP.PCAP.PP.KD	190	28	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SE.COM.DURS	192	23	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SE.PRM.ENRL	180	48	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SE.PRM.TCHR	152	48	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SE.SEC.ENRL	156	48	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SE.SEC.ENRL.GC	166	48	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SE.SEC.ENRL.LO.TC.ZS	94	37	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SE.SEC.NENR	121	48	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SE.SEC.NENR.FE	116	48	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SE.SEC.NENR.MA	116	48	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SE.SEC.PRIV.ZS	136	20	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SE.SEC.TCHR	118	48	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SE.SEC.TCHR.FE	114	48	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SE.XPD.CPRM.ZS	98	21	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SE.XPD.CSEC.ZS	101	21	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SE.XPD.CTER.ZS	92	21	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SE.XPD.CTOT.ZS	95	21	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SH.DTH.NMRT	193	57	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SH.MED.BEDS.ZS	148	55	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SH.MED.PHYS.ZS	152	57	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SH.STA.BRTC.ZS	139	34	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SI.DST.02ND.20	83	38	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SI.DST.03RD.20	83	38	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SI.DST.04TH.20	83	38	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SI.DST.05TH.20	83	38	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SI.DST.10TH.10	83	38	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SI.POV.GINI	83	38	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.EMP.1524.SP.FE.NE.ZS	109	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.EMP.1524.SP.MA.NE.ZS	109	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.EMP.1524.SP.NE.ZS	111	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.EMP.TOTL.SP.FE.NE.ZS	125	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.EMP.TOTL.SP.MA.NE.ZS	125	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.EMP.TOTL.SP.NE.ZS	135	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.TLF.ACTI.1524.FE.NE.ZS	109	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.TLF.ACTI.1524.MA.NE.ZS	109	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.TLF.ACTI.1524.NE.ZS	111	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.TLF.ADVN.FE.ZS	90	28	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.TLF.ADVN.MA.ZS	90	28	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.TLF.ADVN.ZS	90	28	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.TLF.BASC.FE.ZS	90	28	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.TLF.BASC.MA.ZS	90	28	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.TLF.BASC.ZS	90	28	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.TLF.CACT.FE.NE.ZS	129	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.TLF.CACT.FM.NE.ZS	129	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.TLF.CACT.MA.NE.ZS	129	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.TLF.CACT.NE.ZS	138	58	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.TLF.INTM.FE.ZS	89	28	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.TLF.INTM.MA.ZS	89	28	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SL.TLF.INTM.ZS	89	28	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SP.DYN.CONM.ZS	66	55	2 or 3 levels	High variance	Low size change	Spiky data change
wb-SP.DYN.CONU.ZS	77	55	2 or 3 levels	High variance	Low size change	Spiky data change
wb-TM.TAX.MRCH.BR.ZS	145	22	2 or 3 levels	High variance	Low size change	Spiky data change
UNContradeCoffee	49	20	2 or 3 levels	High variance	Regular size change	Low data change
wb-AG.PRD.CREL.MT	179	56	2 or 3 levels	High variance	Regular size change	Low data change
wb-DC.ODA.TOTL.CD	31	57	2 or 3 levels	High variance	Regular size change	Low data change
wb-DC.ODA.TOTL.KD	31	57	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.CUR.MULC.ZS	111	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.CUR.OTHC.ZS	123	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.CUR.UKPS.ZS	90	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.DOD.ALLC.CD	122	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.DOD.BLAT.CD	122	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.DOD.BLTC.CD	122	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.DOD.DECT.CD	123	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.DOD.DECT.GN.ZS	120	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.DOD.DLXF.CD	123	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.DOD.DPNG.CD	81	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.DOD.DPPG.CD	124	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.DOD.MIBR.CD	79	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.DOD.MIDA.CD	100	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.DOD.MLAT.CD	123	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.DOD.MLTC.CD	118	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.DOD.MWBG.CD	123	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.DOD.OFFT.CD	123	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.DOD.PNGC.CD	78	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.DOD.PROP.CD	102	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.DOD.PRVS.CD	85	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.DOD.PRVT.CD	107	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.DOD.PUBS.CD	123	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.DOD.VTOT.CD	111	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.INT.DECT.CD	123	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.INT.DLXF.CD	122	48	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.INT.DPPG.CD	122	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.INT.MIBR.CD	76	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.INT.MLAT.CD	122	48	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.INT.MLTC.CD	117	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.INT.OFFT.CD	122	48	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.TDS.DECT.CD	123	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.TDS.DLXF.CD	122	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.TDS.MIBR.CD	76	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.TDS.MLAT.CD	123	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.UND.DPPG.CD	123	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-DT.UND.OFFT.CD	123	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-EN.ATM.CO2E.GF.KT	117	55	2 or 3 levels	High variance	Regular size change	Low data change
wb-EN.ATM.CO2E.GF.ZS	117	55	2 or 3 levels	High variance	Regular size change	Low data change
wb-EN.ATM.CO2E.KD.GD	194	55	2 or 3 levels	High variance	Regular size change	Low data change
wb-EN.ATM.CO2E.PC	205	55	2 or 3 levels	High variance	Regular size change	Low data change
wb-EN.ATM.CO2E.SF.KT	119	55	2 or 3 levels	High variance	Regular size change	Low data change
wb-EN.ATM.CO2E.SF.ZS	119	55	2 or 3 levels	High variance	Regular size change	Low data change
wb-EN.ATM.GHGT.KT.CE	196	43	2 or 3 levels	High variance	Regular size change	Low data change
wb-EN.ATM.METH.EG.ZS	195	39	2 or 3 levels	High variance	Regular size change	Low data change
wb-EN.ATM.METH.KT.CE	204	43	2 or 3 levels	High variance	Regular size change	Low data change
wb-EN.ATM.NOXE.EG.ZS	195	39	2 or 3 levels	High variance	Regular size change	Low data change
wb-EN.ATM.NOXE.KT.CE	205	43	2 or 3 levels	High variance	Regular size change	Low data change
wb-ER.FSH.AQUA.MT	184	57	2 or 3 levels	High variance	Regular size change	Low data change
wb-ER.FSH.CAPT.MT	212	57	2 or 3 levels	High variance	Regular size change	Low data change
wb-ER.FSH.PROD.MT	212	57	2 or 3 levels	High variance	Regular size change	Low data change
wb-FI.RES.TOTL.CD	171	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-FI.RES.XGLD.CD	171	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-FS.AST.DOMS.GD.ZS	180	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-FS.AST.PRVT.GD.ZS	180	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-IC.BUS.NDNS.ZS	131	11	2 or 3 levels	High variance	Regular size change	Low data change
wb-IC.BUS.NREG	131	11	2 or 3 levels	High variance	Regular size change	Low data change
wb-IC.PRP.DURS	185	14	2 or 3 levels	High variance	Regular size change	Low data change
wb-IC.REG.COST.PC.FE.ZS	188	15	2 or 3 levels	High variance	Regular size change	Low data change
wb-IC.REG.COST.PC.MA.ZS	188	15	2 or 3 levels	High variance	Regular size change	Low data change
wb-IC.REG.COST.PC.ZS	188	15	2 or 3 levels	High variance	Regular size change	Low data change
wb-IC.REG.DURS	189	15	2 or 3 levels	High variance	Regular size change	Low data change
wb-IC.REG.DURS.FE	189	15	2 or 3 levels	High variance	Regular size change	Low data change
wb-IC.REG.DURS.MA	189	15	2 or 3 levels	High variance	Regular size change	Low data change
wb-IC.TAX.OTHR.CP.ZS	176	13	2 or 3 levels	High variance	Regular size change	Low data change
wb-IS.AIR.DPRT	164	48	2 or 3 levels	High variance	Regular size change	Low data change
wb-IS.AIR.GOOD.MT.K1	152	48	2 or 3 levels	High variance	Regular size change	Low data change
wb-IS.AIR.PSGR	164	48	2 or 3 levels	High variance	Regular size change	Low data change
wb-IS.SHP.GCNW.XQ	156	13	2 or 3 levels	High variance	Regular size change	Low data change
wb-IT.NET.SECR	210	8	2 or 3 levels	High variance	Regular size change	Low data change
wb-MS.MIL.XPND.CN	156	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-MS.MIL.XPND.GD.ZS	155	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-NE.CON.GOVT.CD	177	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-NE.CON.GOVT.CN	177	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-NE.DAB.TOTL.CD	177	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-NE.EXP.GNFS.CD	192	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-NE.EXP.GNFS.CN	192	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-NE.GDI.FTOT.CD	173	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-NE.GDI.FTOT.CN	173	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-NE.GDI.TOTL.CD	177	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-NE.IMP.GNFS.CD	192	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-NE.IMP.GNFS.CN	192	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-NE.IMP.GNFS.KD	190	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-NE.IMP.GNFS.KN	166	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-NV.AGR.EMPL.KD	172	27	2 or 3 levels	High variance	Regular size change	Low data change
wb-NV.IND.EMPL.KD	173	27	2 or 3 levels	High variance	Regular size change	Low data change
wb-NY.ADJ.AEDU.CD	185	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-NY.ADJ.DCO2.GN.ZS	194	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-NY.ADJ.DFOR.CD	88	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-NY.ADJ.DKAP.CD	198	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-NY.ADJ.DPEM.CD	176	27	2 or 3 levels	High variance	Regular size change	Low data change
wb-NY.ADJ.SVNG.CD	149	27	2 or 3 levels	High variance	Regular size change	Low data change
wb-NY.GDP.DEFL.ZS.AD	202	28	2 or 3 levels	High variance	Regular size change	Low data change
wb-NY.GDP.DEFL.ZS	203	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-NY.GDP.FRST.RT.ZS	182	47	2 or 3 levels	High variance	Regular size change	Low data change
wb-NY.GDP.MKTP.CD	205	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-NY.GDP.MKTP.CN.AD	202	28	2 or 3 levels	High variance	Regular size change	Low data change
wb-NY.GDP.PCAP.CD	205	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-NY.GDP.PCAP.CN	206	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-NY.GNP.MKTP.CD	197	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-NY.GNP.PCAP.CN	197	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-PA.NUS.ATLS	206	58	2 or 3 levels	High variance	Regular size change	Low data change
wb-PA.NUS.PPP	201	28	2 or 3 levels	High variance	Regular size change	Low data change
wb-PA.NUS.PRVT.PP	206	28	2 or 3 levels	High variance	Regular size change	Low data change
wb-SH.HIV.1524.FE.ZS	131	27	2 or 3 levels	High variance	Regular size change	Low data change
wb-SH.HIV.1524.MA.ZS	131	27	2 or 3 levels	High variance	Regular size change	Low data change
wb-SH.HIV.INCD.14	104	27	2 or 3 levels	High variance	Regular size change	Low data change
wb-SH.HIV.INCD	122	27	2 or 3 levels	High variance	Regular size change	Low data change
wb-SH.HIV.INCD.TL	121	27	2 or 3 levels	High variance	Regular size change	Low data change
wb-SH.HIV.INCD.ZS	122	27	2 or 3 levels	High variance	Regular size change	Low data change
wb-SH.TBS.INCD	208	17	2 or 3 levels	High variance	Regular size change	Low data change
wb-SH.XPD.CHEX.PC.CD	188	16	2 or 3 levels	High variance	Regular size change	Low data change
wb-SH.XPD.GHED.PC.CD	187	16	2 or 3 levels	High variance	Regular size change	Low data change
wb-SH.XPD.GHED.PP.CD	187	16	2 or 3 levels	High variance	Regular size change	Low data change
wb-SH.XPD.OOPC.PC.CD	188	16	2 or 3 levels	High variance	Regular size change	Low data change
wb-SH.XPD.OOPC.PP.CD	188	16	2 or 3 levels	High variance	Regular size change	Low data change
wb-SH.XPD.PVTD.PC.CD	187	16	2 or 3 levels	High variance	Regular size change	Low data change
wb-SH.XPD.PVTD.PP.CD	187	16	2 or 3 levels	High variance	Regular size change	Low data change
wb-SL.EMP.MPYR.FE.ZS	187	27	2 or 3 levels	High variance	Regular size change	Low data change
wb-SL.FAM.WORK.FE.ZS	187	27	2 or 3 levels	High variance	Regular size change	Low data change
wb-SL.FAM.WORK.MA.ZS	187	27	2 or 3 levels	High variance	Regular size change	Low data change
